epoch,dice_coef,loss,lr,precision,recall,val_dice_coef,val_loss,val_precision,val_recall
12,0.9403867125511169,0.006890160962939262,1e-04,0.9522302150726318,0.9313654899597168,0.8188127875328064,0.04617602378129959,0.9051031470298767,0.7656605243682861
13,0.9303791522979736,0.008487382903695107,1e-04,0.9414737820625305,0.9244509339332581,0.8252291083335876,0.04156598076224327,0.8643292784690857,0.8080761432647705
14,0.940885603427887,0.006946229841560125,1e-04,0.9526118040084839,0.9329140782356262,0.8114907741546631,0.046813346445560455,0.9017088413238525,0.758747935295105
15,0.9519428610801697,0.005391838029026985,1e-04,0.9625059962272644,0.9436284303665161,0.751736044883728,0.09102559834718704,0.9283677339553833,0.6578493118286133
16,0.9525683522224426,0.005391944199800491,1e-04,0.9629197716712952,0.9444783329963684,0.5405110716819763,0.24041546881198883,0.8705989718437195,0.43919339776039124
17,0.9495647549629211,0.005748356692492962,1e-04,0.9606415033340454,0.9412811398506165,0.7052494883537292,0.11722871661186218,0.6610268354415894,0.847273588180542
18,0.949487566947937,0.00578269874677062,1e-04,0.9609203934669495,0.9409379959106445,0.49785497784614563,0.23124833405017853,0.8839770555496216,0.3893762528896332
19,0.9506726861000061,0.005590653046965599,1e-04,0.96161288022995,0.9429821968078613,0.10784304141998291,4.409241676330566,0.05970219895243645,0.9853467345237732
20,0.9560393691062927,0.00500526512041688,1e-04,0.9664880633354187,0.9483308792114258,0.8157809972763062,0.053712401539087296,0.8711552619934082,0.7885430455207825
21,0.9583128094673157,0.004643876105546951,1e-04,0.9686974883079529,0.950644850730896,0.7879173159599304,0.06596139073371887,0.8561585545539856,0.760150671005249
22,0.9567888975143433,0.004952778574079275,1e-04,0.9673933982849121,0.9492908716201782,0.8238497972488403,0.050252415239810944,0.9027928113937378,0.7764211297035217
23,0.9577873349189758,0.004787421319633722,1e-04,0.9683408141136169,0.9501015543937683,0.8445425033569336,0.046972133219242096,0.885220468044281,0.8243613839149475
24,0.9636986255645752,0.004019567742943764,1e-04,0.9738152623176575,0.9564732909202576,0.6997367143630981,0.1391957849264145,0.8779596090316772,0.6221641302108765
25,0.9583361744880676,0.004967506043612957,1e-04,0.9686284065246582,0.9515273571014404,0.25864341855049133,0.6118453145027161,0.16630814969539642,0.8365271091461182
26,0.9506191611289978,0.006660562939941883,1e-04,0.9614376425743103,0.9436509013175964,0.8277192711830139,0.04411697015166283,0.8710657358169556,0.810227632522583
27,0.9646101593971252,0.003990560304373503,1e-04,0.9752482771873474,0.9568614959716797,0.8404557108879089,0.049244996160268784,0.8822917938232422,0.8219111561775208
28,0.9695018529891968,0.003368751145899296,1e-04,0.9795454740524292,0.9626086950302124,0.8175532221794128,0.05695216730237007,0.9084593653678894,0.7608193755149841
29,0.9686824679374695,0.003495385404676199,1e-04,0.9787328243255615,0.9617626070976257,0.6631273031234741,0.10859893262386322,0.8978134393692017,0.5766393542289734
30,0.9655030369758606,0.003914490807801485,1e-04,0.975484311580658,0.9585257768630981,0.7224562764167786,0.11770401895046234,0.9088216423988342,0.6370647549629211
31,0.9645077586174011,0.004221915267407894,1e-04,0.9742825627326965,0.9580004215240479,0.2630546987056732,0.30744749307632446,0.7915862202644348,0.18242418766021729
32,0.9593085050582886,0.005341472569853067,1e-04,0.9694039821624756,0.9529663324356079,0.7742877006530762,0.057153988629579544,0.7413968443870544,0.8494272232055664
33,0.9670304656028748,0.0037726974114775658,1e-04,0.9770948886871338,0.9604012966156006,0.8376808762550354,0.05107378587126732,0.8737515807151794,0.8244366645812988
34,0.9735900163650513,0.0029201230499893427,1e-05,0.9839288592338562,0.9669275879859924,0.8469136953353882,0.04800689220428467,0.8796760439872742,0.8345692157745361
35,0.9750040173530579,0.002737310715019703,1e-05,0.9853067994117737,0.968567967414856,0.8471645712852478,0.05024886876344681,0.8837803602218628,0.8318143486976624
36,0.9760009050369263,0.0026095767971128225,1e-05,0.9863136410713196,0.9697830677032471,0.8470975160598755,0.05251404643058777,0.885576069355011,0.8302807807922363
37,0.9771062135696411,0.0024767194408923388,1e-05,0.9874216318130493,0.9711110591888428,0.8475105166435242,0.0552978515625,0.8788703083992004,0.8361098766326904
38,0.9778798818588257,0.002387432148680091,1e-05,0.9883204698562622,0.9718461036682129,0.8474498391151428,0.057893287390470505,0.8840096592903137,0.8319615125656128
39,0.9785474538803101,0.002310083480551839,1e-05,0.9890087246894836,0.9726874232292175,0.8457896113395691,0.061249472200870514,0.8846301436424255,0.8286240696907043
